"","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
"2022-09-29",366.809997558594,367.109985351562,359.700012207031,362.790008544922,112952300,348.169158935547
"2022-09-30",361.799987792969,365.910003662109,357.040008544922,357.179992675781,153711200,342.785278320312
"2022-10-03",361.079986572266,368.549987792969,359.209991455078,366.609985351562,89756500,351.835235595703
"2022-10-04",372.399993896484,378,366.570007324219,377.970001220703,103602800,362.737365722656
"2022-10-05",373.390014648438,379.459991455078,370.950012207031,377.089996337891,88065700,361.892791748047
"2022-10-06",375.619995117188,378.720001220703,372.679992675781,373.200012207031,82333500,358.159576416016
"2022-10-07",368.970001220703,373.290008544922,360.940002441406,362.790008544922,107789500,348.169158935547
"2022-10-10",363.959991455078,364.209991455078,357.670013427734,360.019989013672,76042800,345.510772705078
"2022-10-11",358.239990234375,363.029998779297,355.709991455078,357.739990234375,92482800,343.322662353516
"2022-10-12",358.170013427734,359.820007324219,356.299987792969,356.559997558594,76991800,342.190246582031
"2022-10-13",349.209991455078,367.510009765625,348.109985351562,365.970001220703,147254500,351.220977783203
"2022-10-14",368.549987792969,370.260009765625,356.959991455078,357.630004882812,123737000,343.217102050781
"2022-10-17",364.010009765625,367.980010986328,357.279998779297,366.820007324219,93168200,352.036743164062
"2022-10-18",375.130004882812,375.450012207031,367.519989013672,371.130004882812,97162900,356.173034667969
"2022-10-19",368.989990234375,371.850006103516,365.549987792969,368.5,79746900,353.649017333984
"2022-10-20",368.029998779297,372.670013427734,364.609985351562,365.410003662109,88283100,350.683563232422
"2022-10-21",365.119995117188,374.799987792969,363.540008544922,374.290008544922,131038400,359.205688476562
"2022-10-24",375.890014648438,380.059997558594,373.109985351562,378.869995117188,85436900,363.601135253906
"2022-10-25",378.790008544922,385.25,378.670013427734,384.920013427734,78846300,369.407287597656
"2022-10-26",381.619995117188,387.579986572266,381.350006103516,382.019989013672,104087300,366.624176025391
"2022-10-27",383.070007324219,385,379.329986572266,379.980010986328,81971800,364.666351318359
"2022-10-28",379.869995117188,389.519989013672,379.679992675781,389.019989013672,100302000,373.342041015625
"2022-10-31",386.440002441406,388.399993896484,385.260009765625,386.209991455078,96631300,370.645294189453
"2022-11-01",390.140014648438,390.390014648438,383.290008544922,384.519989013672,85407600,369.023406982422
"2022-11-02",383.899993896484,388.630004882812,374.760009765625,374.869995117188,126990400,359.762268066406
"2022-11-03",371.470001220703,374.200012207031,368.790008544922,371.010009765625,87100100,356.057861328125
"2022-11-04",377,378.869995117188,370,376.350006103516,103505200,361.182647705078
"2022-11-07",377.709991455078,380.570007324219,375.529998779297,379.950012207031,68286900,364.637634277344
"2022-11-08",381.109985351562,385.119995117188,377.720001220703,382,84641100,366.60498046875
"2022-11-09",379.929992675781,381.140014648438,373.609985351562,374.130004882812,78495500,359.052062988281
"2022-11-10",388.049987792969,395.040008544922,385.640014648438,394.690002441406,141455800,378.783477783203
"2022-11-11",395.589996337891,399.350006103516,393.609985351562,398.510009765625,93839900,382.449584960938
"2022-11-14",396.660003662109,400.179992675781,394.829986572266,395.119995117188,71903500,379.196197509766
"2022-11-15",401.149993896484,402.309997558594,394.489990234375,398.489990234375,93194500,382.430328369141
"2022-11-16",396.779998779297,397.779998779297,394.790008544922,395.450012207031,68508500,379.512878417969
"2022-11-17",390.459991455078,394.950012207031,390.140014648438,394.239990234375,74496300,378.351654052734
"2022-11-18",397.739990234375,397.809997558594,393.040008544922,396.029998779297,92922500,380.069519042969
"2022-11-21",394.640014648438,395.820007324219,392.660003662109,394.589996337891,51243200,378.6875
"2022-11-22",396.630004882812,400.070007324219,395.149993896484,399.899993896484,60429000,383.783569335938
"2022-11-23",399.549987792969,402.929992675781,399.309997558594,402.420013427734,68261600,386.202056884766
"2022-11-25",401.829986572266,402.910003662109,401.540008544922,402.329986572266,30545400,386.115631103516
"2022-11-28",399.089996337891,400.809997558594,395.109985351562,395.910003662109,67881600,379.954345703125
"2022-11-29",396.049987792969,397.299987792969,393.299987792969,395.230010986328,52310000,379.301788330078
"2022-11-30",395.489990234375,407.679992675781,393.480010986328,407.679992675781,144566700,391.249969482422
"2022-12-01",408.769989013672,410,404.75,407.380004882812,76398200,390.962158203125
"2022-12-02",402.25,407.859985351562,402.140014648438,406.910003662109,85342700,390.511077880859
"2022-12-05",403.950012207031,404.929992675781,398.170013427734,399.589996337891,77289800,383.486083984375
"2022-12-06",399.420013427734,399.989990234375,391.640014648438,393.829986572266,77972200,377.958190917969
"2022-12-07",392.940002441406,395.640014648438,391.970001220703,393.160003662109,65927900,377.315185546875
"2022-12-08",395.140014648438,397.359985351562,393.269989013672,396.239990234375,60737900,380.271057128906
"2022-12-09",394.940002441406,397.619995117188,393.149993896484,393.279998779297,81447700,377.430358886719
"2022-12-12",394.109985351562,398.950012207031,393.410003662109,398.950012207031,75405800,382.871917724609
"2022-12-13",410.220001220703,410.489990234375,399.070007324219,401.970001220703,123782500,385.770141601562
"2022-12-14",401.609985351562,405.5,396.309997558594,399.399993896484,108111300,383.303741455078
"2022-12-15",394.299987792969,395.25,387.890014648438,389.630004882812,117705900,373.927459716797
"2022-12-16",385.179992675781,386.579986572266,381.040008544922,383.269989013672,119858000,369.512847900391
"2022-12-19",383.470001220703,383.820007324219,378.279998779297,380.019989013672,79878100,366.379486083984
"2022-12-20",379.230010986328,382.230010986328,377.850006103516,380.540008544922,74427200,366.880767822266
"2022-12-21",383.25,387.410003662109,382.690002441406,386.230010986328,78167400,372.366638183594
"2022-12-22",383.049987792969,386.209991455078,374.769989013672,380.720001220703,100120900,367.054351806641
"2022-12-23",379.649993896484,383.059997558594,378.029998779297,382.910003662109,59857300,369.165771484375
"2022-12-27",382.790008544922,383.149993896484,379.649993896484,381.399993896484,51638200,367.7099609375
"2022-12-28",381.329986572266,383.390014648438,376.420013427734,376.660003662109,70911500,363.140106201172
"2022-12-29",379.630004882812,384.350006103516,379.079986572266,383.440002441406,66970900,369.676727294922
"2022-12-30",380.640014648438,382.579986572266,378.429992675781,382.429992675781,84022200,368.703002929688
"2023-01-03",384.369995117188,386.429992675781,377.829986572266,380.820007324219,74850700,367.150787353516
"2023-01-04",383.179992675781,385.880004882812,380,383.760009765625,85934100,369.985229492188
"2023-01-05",381.720001220703,381.839996337891,378.760009765625,379.380004882812,76970500,365.762420654297
"2023-01-06",382.609985351562,389.25,379.410003662109,388.079986572266,104189600,374.150146484375
"2023-01-09",390.369995117188,393.700012207031,387.670013427734,387.859985351562,73978100,373.938049316406
"2023-01-10",387.25,390.649993896484,386.269989013672,390.579986572266,65358100,376.560424804688
"2023-01-11",392.230010986328,395.600006103516,391.380004882812,395.519989013672,68881100,381.323089599609
"2023-01-12",396.670013427734,398.489990234375,392.420013427734,396.959991455078,90157700,382.71142578125
"2023-01-13",393.619995117188,399.100006103516,393.339996337891,398.5,63903900,384.196197509766
"2023-01-17",398.480010986328,400.230010986328,397.059997558594,397.769989013672,62677300,383.492370605469
"2023-01-18",399.010009765625,400.119995117188,391.279998779297,391.489990234375,99632300,377.437774658203
